data_type,s_rank,num_data_points,nelder_mead,powell,sgd,adam,rmsprop,bfgs,slsqp,dual_annealing,cobyla,genetic_algorithm,particle_swarm,diff_evolution
random,4,1,0.3272847400107236,0.3274648895936908,0.6513893916408199,0.32728774044046466,0.32732813182633674,0.327284740103468,0.3272906667316435,0.3267501256892141,0.3283031733986183,0.3348122627525541,0.3423746418084469,0.3268695193434274
random,4,2,0.4304165499601247,0.42000558779214614,0.7026524293894385,0.41905317665335495,0.4190845812194281,0.43358859759911794,0.4292558921019435,0.402296525048787,0.4240288399325142,0.4185719431897382,0.41759534976224433,0.40312365750672485
random,4,3,0.4378462929093175,0.45384862973087514,0.7287706419825788,0.45161160525638133,0.4460801451518538,0.45916461542055276,0.4591662018433172,0.3991989474369574,0.43891973284550756,0.4184389212513209,0.4133375104808337,0.4000807011170405
random,4,4,0.46245389840197504,0.44154712158896237,0.7229453468548612,0.46828285718403206,0.47664585000360243,0.46828278496523906,0.47662025735075114,0.4168345789052738,0.45720280598840224,0.4385744025713638,0.42979209805952057,0.41686588866129287
