data_type,s_rank,num_data_points,nelder_mead,powell,sgd,adam,rmsprop,bfgs,slsqp,dual_annealing,cobyla,genetic_algorithm,particle_swarm,diff_evolution
random,1,4,0.2900584525591599,0.2907859767469151,0.4943078326791325,0.300991880956414,0.28592975519217756,0.3004678011519679,0.2958405187503724,0.2751507047159437,0.29067594684311293,0.2953608148490557,0.29271399563472855,0.27708429049090716
random,2,4,0.35792583128894734,0.34232933248577085,0.6128284682614317,0.3599343912530784,0.35996929103663355,0.3607480099354213,0.36074995650390546,0.3330802204646092,0.3558888484547314,0.34505621126343816,0.34638764341847333,0.3308566503652285
random,3,4,0.3868525346445869,0.40551236689890224,0.6797698728419629,0.39816844104409305,0.39053722760409526,0.38785536111414654,0.3893778393760439,0.373790313242231,0.3896843633627107,0.39659256364760737,0.389113309825854,0.37712867883643253
random,4,4,0.46245389840197504,0.44154712158896237,0.7229453468548612,0.46828285718403206,0.47664585000360243,0.46828278496523906,0.47662025735075114,0.4168345789052738,0.45720280598840224,0.4385744025713638,0.42979209805952057,0.41686588866129287
