data_type,s_rank,num_data_points,nelder_mead,powell,sgd,adam,rmsprop,bfgs,slsqp,dual_annealing,cobyla,genetic_algorithm,particle_swarm,diff_evolution
random,2,1,0.14332140470481433,0.14331380394526508,0.36708477685873414,0.1443782117385381,0.14417673127666303,0.14327358448966804,0.14335484415692493,0.14330574931895107,0.1444688084532923,0.15265085834325293,0.1627474449713529,0.14349399633083465
orthogonal,2,1,0.1566202827654272,0.1566215199370647,0.34323568107269964,0.16167319449211753,0.15669190467388228,0.15662028312287085,0.15715709663004526,0.15667403308498976,0.15683241206409138,0.16173403155032257,0.17582729803272443,0.15662693225333454
non_lin_ind,2,1,0.15153717385048626,0.15153739214529338,0.3674922509357319,0.15345034251089462,0.14993022093938943,0.15153717401222347,0.1534172800158634,0.14950996305900574,0.14967017956478423,0.15574850674318058,0.1651431667404426,0.14974420798659188
var_s_rank,2,1,0.14567812063693925,0.1448549238760394,0.35678277998968766,0.14693998789068888,0.1459402373000825,0.14567812091940763,0.1462217336569465,0.14468715821062358,0.1465739030263948,0.15019319898816919,0.15878426665162174,0.14506625844037996
