,nelder_mead,powell,sgd,adam,rmsprop,bfgs,slsqp,dual_annealing,cobyla,genetic_algorithm,particle_swarm,diff_evolution
0,random,random,orthogonal,random,random,random,random,random,random,var_s_rank,var_s_rank,random
1,var_s_rank,var_s_rank,var_s_rank,var_s_rank,var_s_rank,var_s_rank,var_s_rank,var_s_rank,var_s_rank,random,random,var_s_rank
2,non_lin_ind,non_lin_ind,random,non_lin_ind,non_lin_ind,non_lin_ind,non_lin_ind,non_lin_ind,non_lin_ind,non_lin_ind,non_lin_ind,non_lin_ind
3,orthogonal,orthogonal,non_lin_ind,orthogonal,orthogonal,orthogonal,orthogonal,orthogonal,orthogonal,orthogonal,orthogonal,orthogonal
