data_type,s_rank,num_data_points,nelder_mead,powell,sgd,adam,rmsprop,bfgs,slsqp,dual_annealing,cobyla,genetic_algorithm,particle_swarm,diff_evolution
random,2,3,,,,,,,,,,,,
orthogonal,2,3,-0.012069082975223466,-0.010930878757361095,0.007986522257739437,-0.013951700845494741,0.0037226039840699277,0.0170352602428534,0.014534058842514408,-0.005130131017383022,0.005138216010023844,0.014338319810067002,0.0006939623110766013,-0.003224513510622029
non_lin_ind,2,3,-0.14752234899483874,-0.15591514561853131,-0.2181951828872558,-0.1336907547721056,-0.1421702808710397,-0.15294496773550642,-0.14739264139284874,-0.128023411232684,-0.15467823115560336,-0.14709476955404557,-0.12928662995356568,-0.13006748633778883
var_s_rank,2,3,0.1800262751336706,0.165221675968989,0.14574297872799302,0.16762544360485362,0.1728855789183623,0.1724447018244964,0.168797328234985,0.1695396033648278,0.17959623503375405,0.1748231021737495,0.1631713091529471,0.16976908715388714
