data_type,s_rank,num_data_points,nelder_mead,powell,sgd,adam,rmsprop,bfgs,slsqp,dual_annealing,cobyla,genetic_algorithm,particle_swarm,diff_evolution
random,2,3,,,,,,,,,,,,
orthogonal,2,3,-0.03856441770569763,-0.03367289859993661,0.013756418475357579,-0.04441256641925184,0.012556795016923417,0.0580056324400029,0.04907074418778534,-0.017909854459661867,0.0164576259129825,0.04898579170985751,0.0023057772498513707,-0.011251494544240237
non_lin_ind,2,3,-0.4902867233948841,-0.49703797373031444,-0.37073126571114234,-0.4453584119881385,-0.4736105803196081,-0.4922305973624942,-0.47435857547481297,-0.4550945574430436,-0.4874103498972059,-0.4790705707487777,-0.4285829073891899,-0.45901715846422
var_s_rank,2,3,1.1738220512344073,1.0472083386050914,0.3935188523337625,1.006782815562199,1.0941180719496182,1.0929913936163365,1.0334915711185486,1.1060181754334555,1.1040606849041605,1.0930051094189226,0.9466115570373899,1.1074784792411925
