,nelder_mead,powell,sgd,adam,rmsprop,bfgs,slsqp,dual_annealing,cobyla,genetic_algorithm,particle_swarm,diff_evolution
0,random,random,non_lin_ind,random,random,random,random,non_lin_ind,random,non_lin_ind,non_lin_ind,non_lin_ind
1,non_lin_ind,non_lin_ind,var_s_rank,non_lin_ind,non_lin_ind,non_lin_ind,non_lin_ind,random,orthogonal,random,random,random
2,orthogonal,orthogonal,orthogonal,orthogonal,orthogonal,orthogonal,orthogonal,orthogonal,non_lin_ind,orthogonal,orthogonal,orthogonal
3,var_s_rank,var_s_rank,random,var_s_rank,var_s_rank,var_s_rank,var_s_rank,var_s_rank,var_s_rank,var_s_rank,var_s_rank,var_s_rank
