,nelder_mead,powell,sgd,adam,rmsprop,bfgs,slsqp,dual_annealing,cobyla,genetic_algorithm,particle_swarm,diff_evolution
0,orthogonal,non_lin_ind,orthogonal,non_lin_ind,non_lin_ind,non_lin_ind,orthogonal,orthogonal,orthogonal,orthogonal,orthogonal,orthogonal
1,non_lin_ind,orthogonal,random,orthogonal,orthogonal,orthogonal,non_lin_ind,non_lin_ind,non_lin_ind,non_lin_ind,non_lin_ind,non_lin_ind
2,var_s_rank,random,var_s_rank,var_s_rank,var_s_rank,var_s_rank,var_s_rank,var_s_rank,var_s_rank,var_s_rank,var_s_rank,var_s_rank
3,random,var_s_rank,non_lin_ind,random,random,random,random,random,random,random,random,random
