data_type,s_rank,num_data_points,nelder_mead,powell,sgd,adam,rmsprop,bfgs,slsqp,dual_annealing,cobyla,genetic_algorithm,particle_swarm,diff_evolution
random,4,1,0.3272847400107236,0.3274648895936908,0.6513893916408199,0.32728774044046466,0.32732813182633674,0.327284740103468,0.3272906667316435,0.3267501256892141,0.3283031733986183,0.3348122627525541,0.3423746418084469,0.3268695193434274
orthogonal,4,1,0.3622742072531252,0.35238598498297263,0.6096747670548119,0.3489504739413239,0.34778268206138335,0.3487282268694331,0.34876713413858484,0.3341141052805564,0.33618983766905325,0.34731528274493567,0.3475968322459596,0.3345846950149856
non_lin_ind,4,1,0.343878425611987,0.3453554923369719,0.5788849466368476,0.3381351193570246,0.3381068853468794,0.3276177979511976,0.34267868952551284,0.3261413926343192,0.34801334383457727,0.33358449238155263,0.3416320764712707,0.32632905044348715
var_s_rank,4,1,0.38517534727108327,0.36109269055596077,0.6072638177326255,0.3788782173809936,0.3789154570555512,0.38258284417178096,0.384854633424353,0.34341104126618355,0.3677543716904423,0.3519032660072335,0.3590365228110771,0.34283209930658076
