data_type,s_rank,num_data_points,nelder_mead,powell,sgd,adam,rmsprop,bfgs,slsqp,dual_annealing,cobyla,genetic_algorithm,particle_swarm,diff_evolution
random,4,2,0.4304165499601247,0.42000558779214614,0.7026524293894385,0.41905317665335495,0.4190845812194281,0.43358859759911794,0.4292558921019435,0.402296525048787,0.4240288399325142,0.4185719431897382,0.41759534976224433,0.40312365750672485
orthogonal,4,2,0.3657398333531741,0.38499064007103034,0.6356468093629821,0.3680899498365058,0.3678374227043761,0.3811297747197382,0.37339758460609984,0.3604049154938891,0.38007492017476097,0.37119363496099317,0.3745086082259868,0.3596277193953135
non_lin_ind,4,2,0.37251079077115634,0.36348280124130117,0.7253333572468015,0.3650185421260779,0.36505446346357273,0.36501777580736017,0.3763594086759179,0.361225103794988,0.38791246276112873,0.3718499711536818,0.37493321067831015,0.3635685660257594
var_s_rank,4,2,0.40066930105462495,0.42126217464567806,0.7191286561603084,0.401184149278248,0.4007031602354358,0.40066929990998845,0.4027033437846699,0.39866085684650526,0.40066930128594824,0.40540866443540297,0.41328213689172416,0.39914416464581653
