,nelder_mead,powell,sgd,adam,rmsprop,bfgs,slsqp,dual_annealing,cobyla,genetic_algorithm,particle_swarm,diff_evolution
0,orthogonal,orthogonal,orthogonal,orthogonal,orthogonal,orthogonal,orthogonal,orthogonal,orthogonal,orthogonal,orthogonal,orthogonal
1,var_s_rank,var_s_rank,random,var_s_rank,var_s_rank,var_s_rank,var_s_rank,var_s_rank,var_s_rank,var_s_rank,var_s_rank,var_s_rank
2,random,random,var_s_rank,random,random,random,random,random,random,random,random,random
