,nelder_mead,powell,sgd,adam,rmsprop,bfgs,slsqp,dual_annealing,cobyla,genetic_algorithm,particle_swarm,diff_evolution
0,var_s_rank,var_s_rank,orthogonal,var_s_rank,var_s_rank,var_s_rank,var_s_rank,var_s_rank,var_s_rank,var_s_rank,var_s_rank,var_s_rank
1,random,random,random,random,random,random,random,random,random,random,random,random
2,orthogonal,orthogonal,var_s_rank,orthogonal,orthogonal,orthogonal,orthogonal,orthogonal,orthogonal,orthogonal,orthogonal,orthogonal
