data_type,s_rank,num_data_points,nelder_mead,powell,sgd,adam,rmsprop,bfgs,slsqp,dual_annealing,cobyla,genetic_algorithm,particle_swarm,diff_evolution
random,3,3,,,,,,,,,,,,
orthogonal,3,3,0.02002303846417708,0.003294936470994103,-0.04622284568768953,0.0009307760768443862,0.001101538273067304,0.008621486951427948,0.008914594117523933,0.0008752835114150814,0.005981853591233044,0.006182311537669349,0.004543677018744474,0.0017451188901378423
var_s_rank,3,3,-0.029174436613358723,-0.021125927681295842,0.06796628214275213,-0.01233345920627349,-0.004237044542822477,-0.015759227238107243,-0.01552940545708259,-0.015149111880589539,-0.030672590779082853,-0.017881324077322958,-0.018584668588090603,-0.015776809873223552
