,nelder_mead,powell,sgd,adam,rmsprop,bfgs,slsqp,dual_annealing,cobyla,genetic_algorithm,particle_swarm,diff_evolution
0,random,non_lin_ind,non_lin_ind,random,random,random,non_lin_ind,random,random,random,non_lin_ind,random
1,non_lin_ind,random,orthogonal,non_lin_ind,non_lin_ind,non_lin_ind,var_s_rank,non_lin_ind,non_lin_ind,non_lin_ind,random,non_lin_ind
2,var_s_rank,var_s_rank,var_s_rank,var_s_rank,var_s_rank,var_s_rank,random,var_s_rank,var_s_rank,var_s_rank,var_s_rank,var_s_rank
3,orthogonal,orthogonal,random,orthogonal,orthogonal,orthogonal,orthogonal,orthogonal,orthogonal,orthogonal,orthogonal,orthogonal
