Optimizer,Result,Duration
COBYLA," message: Maximum number of function evaluations has been exceeded.
 success: False
  status: 2
     fun: 0.21636234128130405
       x: [-8.839e-01 -3.152e-01  6.692e-01 -1.704e+00 -6.084e-02
            4.681e-01]
    nfev: 100
   maxcv: 0.0",0.027820110321044922
BFGS,"  message: Optimization terminated successfully.
  success: True
   status: 0
      fun: 0.21628438664919392
        x: [ 8.640e-01  2.850e+00 -2.481e+00 -1.689e+00 -7.501e-02
            -5.807e+00]
      nit: 20
      jac: [ 8.389e-06 -8.784e-06  2.787e-06 -7.160e-06  3.889e-06
            -3.338e-06]
 hess_inv: [[ 3.856e+00 -7.377e-01 ...  7.104e-01 -1.132e+00]
            [-7.377e-01  4.207e+00 ... -1.492e+00  9.960e-01]
            ...
            [ 7.104e-01 -1.492e+00 ...  3.266e+00 -7.914e-01]
            [-1.132e+00  9.960e-01 ... -7.914e-01  3.649e+00]]
     nfev: 175
     njev: 25",0.033270835876464844
Nelder-Mead,"       message: Maximum number of iterations has been exceeded.
       success: False
        status: 2
           fun: 0.376762709398348
             x: [-1.660e+00 -1.014e+00  4.723e-01 -2.794e+00 -1.138e+00
                 -1.119e+00]
           nit: 100
          nfev: 157
 final_simplex: (array([[-1.660e+00, -1.014e+00, ..., -1.138e+00,
                        -1.119e+00],
                       [-1.682e+00, -1.004e+00, ..., -1.173e+00,
                        -1.117e+00],
                       ...,
                       [-1.668e+00, -1.044e+00, ..., -1.183e+00,
                        -1.090e+00],
                       [-1.681e+00, -1.012e+00, ..., -1.161e+00,
                        -1.108e+00]]), array([ 3.768e-01,  3.768e-01,  3.768e-01,  3.768e-01,
                        3.770e-01,  3.772e-01,  3.772e-01]))",0.02828216552734375
Powell," message: Optimization terminated successfully.
 success: True
  status: 0
     fun: 0.21628871595995192
       x: [-8.667e-01 -2.958e-01  6.623e-01 -4.592e+00 -3.215e+00
           -2.663e+00]
     nit: 13
   direc: [[-1.373e-01 -7.509e-04 ... -6.505e-04 -2.758e-02]
           [-2.393e-02  4.899e-02 ...  3.592e-02 -6.760e-02]
           ...
           [ 0.000e+00  0.000e+00 ...  1.000e+00  0.000e+00]
           [ 3.268e-03  2.177e-02 ... -4.175e-03  1.755e-02]]
    nfev: 729",0.12246394157409668
SLSQP," message: Optimization terminated successfully
 success: True
  status: 0
     fun: 0.21628442172598183
       x: [-8.635e-01 -2.915e-01  6.608e-01 -1.689e+00 -7.534e-02
            4.766e-01]
     nit: 24
     jac: [ 5.986e-04 -3.745e-04 -1.115e-04 -4.136e-04 -1.629e-04
            2.274e-04]
    nfev: 174
    njev: 24",0.02995586395263672
