data_type,s_rank,num_data_points,nelder_mead,powell,sgd,adam,rmsprop,bfgs,slsqp,dual_annealing,cobyla,genetic_algorithm,particle_swarm,diff_evolution
random,1,3,,,,,,,,,,,,
orthogonal,1,3,-0.008457485856509073,-0.0357321128842919,-0.02438131728528603,-0.05611092571262599,-0.05906945202904179,-0.012497749586932727,0.016154812208095226,-0.11137610241770524,-0.0185637641653984,-0.07537124166778797,-0.09012436471505225,-0.09974941753594335
non_lin_ind,1,3,-0.8506490430026166,-0.8557785175907682,-0.7557629547571438,-0.8567603700288785,-0.8544234306116093,-0.8490739815104278,-0.8587125305646282,-0.8095470246015166,-0.8528667455678284,-0.8263035508863172,-0.7809069624818183,-0.8096092028797436
var_s_rank,1,3,6.755880552596799,6.311351059356346,2.7020409023071807,6.538536398452398,6.5093254423307405,6.429434560394459,6.580589783812155,5.793172198105221,6.722915309797935,5.941236710172735,4.718512570532926,5.829369390958922
