data_type,s_rank,num_data_points,nelder_mead,powell,sgd,adam,rmsprop,bfgs,slsqp,dual_annealing,cobyla,genetic_algorithm,particle_swarm,diff_evolution
random,1,4,0.2900584525591599,0.2907859767469151,0.4943078326791325,0.300991880956414,0.28592975519217756,0.3004678011519679,0.2958405187503724,0.2751507047159437,0.29067594684311293,0.2953608148490557,0.29271399563472855,0.27708429049090716
orthogonal,1,4,0.23000476937576111,0.2726296552223127,0.45089503644670703,0.22472179294430544,0.24045143531275018,0.24077853158942233,0.2453679005767598,0.1910014790827502,0.25708613169069433,0.22316996888398705,0.2166265338033702,0.19400129447738948
non_lin_ind,1,4,0.04522566202770258,0.04522568064518172,0.2027615526845626,0.04522604889519179,0.04528996746373413,0.04522566094910443,0.04523469367947719,0.0452256609317645,0.045225666611271365,0.046623898649353054,0.05338251912417341,0.04522566276038383
var_s_rank,1,4,0.27728909641102156,0.2845977788137034,0.46454761881169127,0.26408794271170594,0.26575180261156583,0.27360186356312793,0.27360451651620343,0.25591153406262596,0.29196613963071766,0.27558179650193615,0.2721981570796597,0.2564711905340393
