,nelder_mead,powell,sgd,adam,rmsprop,bfgs,slsqp,dual_annealing,cobyla,genetic_algorithm,particle_swarm,diff_evolution
0,non_lin_ind,non_lin_ind,non_lin_ind,non_lin_ind,non_lin_ind,non_lin_ind,non_lin_ind,non_lin_ind,non_lin_ind,non_lin_ind,non_lin_ind,non_lin_ind
1,orthogonal,orthogonal,orthogonal,orthogonal,orthogonal,orthogonal,orthogonal,orthogonal,orthogonal,orthogonal,orthogonal,orthogonal
2,var_s_rank,var_s_rank,var_s_rank,random,random,var_s_rank,random,random,random,random,random,random
3,random,random,random,var_s_rank,var_s_rank,random,var_s_rank,var_s_rank,var_s_rank,var_s_rank,var_s_rank,var_s_rank
