data_type,s_rank,num_data_points,nelder_mead,powell,sgd,adam,rmsprop,bfgs,slsqp,dual_annealing,cobyla,genetic_algorithm,particle_swarm,diff_evolution
random,1,1,0.04230604255679814,0.04230607511573639,0.1855451400575498,0.042651473718353934,0.04237128573186359,0.042306042685249234,0.04230759816025684,0.042306042665383486,0.04231259089206868,0.043546432381090766,0.049797359725312504,0.042306124547689734
orthogonal,1,1,0.04324985828588114,0.043249881295944335,0.19069698736263443,0.043256103773827,0.043314741047992975,0.04324985838205707,0.0432585714727642,0.04324985841593933,0.04324985843954282,0.04442497825924125,0.05104127492409986,0.04324985968752763
non_lin_ind,1,1,0.04108686136100539,0.04108688500549727,0.1351702008135685,0.04109522063286086,0.041154220904430536,0.041086861481450854,0.04108817679128035,0.04108686160062161,0.04108686197845053,0.04241033646931882,0.048735441594812814,0.04108738779699607
var_s_rank,1,1,0.03857262236256801,0.03857262964998363,0.16131011286323688,0.038574159129397045,0.03863428638213813,0.038572622565302465,0.03857566060365499,0.03857262246910076,0.03857526217338314,0.0401337288263273,0.046020508564071264,0.038572638537324865
