data_type,s_rank,num_data_points,nelder_mead,powell,sgd,adam,rmsprop,bfgs,slsqp,dual_annealing,cobyla,genetic_algorithm,particle_swarm,diff_evolution
random,1,2,,,,,,,,,,,,
orthogonal,1,2,-0.26379566077900296,-0.18076530782130718,-0.10965840434849738,-0.2826069620292576,-0.25885713190302584,-0.24934028670856212,-0.2573414128480417,-0.1998870800066399,-0.15106059892174173,-0.12024830477965642,-0.17118947363291037,-0.18934664556562786
non_lin_ind,1,2,-0.6277647887351547,-0.6611339285081568,-0.315731164453819,-0.6337701870677839,-0.6244227070241576,-0.6288103674022536,-0.6294772991460316,-0.5825702804165518,-0.673089688212578,-0.6494309963765066,-0.5828625628709536,-0.595175528320598
var_s_rank,1,2,2.4437687453414174,2.38150261802834,0.6034639179787844,2.846500607751272,2.7001224926203524,2.5081930220662874,2.751435268414014,2.3246002369764636,2.7723370693090326,2.4604832128812792,2.155823307029055,2.3604972798022352
