,nelder_mead,powell,sgd,adam,rmsprop,bfgs,slsqp,dual_annealing,cobyla,genetic_algorithm,particle_swarm,diff_evolution
0,1,1,1,1,1,1,1,1,1,1,1,1
1,2,2,2,2,2,2,2,2,2,2,2,2
2,4,4,4,4,4,4,4,4,4,4,4,4
